,cM,cMact,cMinf,Mac1,Mac2,ncM,ncMcomp,cDC1,cDC2,pDC,cell_type
ABCA1,0.01921575702726841,-0.03785719722509384,0.023349374532699585,-0.004961162805557251,0.010737311094999313,0.030427373945713043,0.10054482519626617,-0.10112254321575165,-0.04263652488589287,-0.1419028788805008,all
SLC44A1,0.045531585812568665,0.005830202251672745,0.047988779842853546,0.02067459560930729,-0.03685562312602997,-0.10755867511034012,-0.07947985827922821,-0.060006290674209595,0.004614756442606449,-0.11041779816150665,all
TXN,0.044372547417879105,0.014251585118472576,0.01851201243698597,0.008258753456175327,-0.10400570929050446,-0.28787297010421753,-0.3571644723415375,0.19010679423809052,0.252498984336853,1.41623854637146,all
LPAR1,0.040280379354953766,0.006486962083727121,-0.0054781087674200535,0.022481385618448257,0.007732342462986708,-0.04357970878481865,-0.06093638017773628,-0.024981316179037094,-0.06382676213979721,-0.07715430855751038,all
UGCG,-0.08039475232362747,-0.08822505921125412,-0.06778930127620697,-0.07239535450935364,0.0223897285759449,-0.0986008569598198,-0.16773636639118195,-0.07075561583042145,-0.23849481344223022,4.466449737548828,all
KIAA1958,0.029298432171344757,0.02494770660996437,-0.04073838144540787,-0.00043180378270335495,0.018073108047246933,-0.029174409806728363,-0.03387987241148949,0.004313278943300247,0.46186649799346924,-0.018957538530230522,all
MEGF9,0.229839026927948,0.04135192185640335,-0.042370885610580444,0.13391397893428802,-0.12150488793849945,-0.2411942183971405,-0.2129889279603958,-0.1479012370109558,-0.2825137972831726,-0.44064366817474365,all
C5,0.008545042015612125,0.005555568262934685,0.0018635560991242528,0.008431443944573402,0.00031629420118406415,-0.026972178369760513,-0.04551444202661514,0.03622610121965408,-0.0024479420389980078,-0.03318346291780472,all
STOM,-0.04870161786675453,0.03111606277525425,-0.0005682941991835833,0.00550033338367939,0.12254376709461212,0.03915996104478836,0.11093727499246597,-0.030859017744660378,0.021180106326937675,-0.20905224978923798,all
PTGS1,-0.0209500752389431,0.0027618124149739742,0.017528580501675606,-0.018425557762384415,-0.060952696949243546,-0.003728036768734455,0.004975141026079655,0.07278751581907272,-0.08804372698068619,-0.061777263879776,all
ZBTB26,-0.0002683124621398747,0.0035323859192430973,0.008666405454277992,-0.01823311671614647,0.0006295064813457429,-0.01216148678213358,-0.010369577445089817,-0.00889138039201498,-0.05808557569980621,0.010994065552949905,all
