,cM,cMact,cMinf,Mac1,Mac2,ncM,ncMcomp,cDC1,cDC2,pDC,cell_type
FAM212B,-0.014430646784603596,-0.0220236424356699,0.0077466764487326145,0.026513846591114998,0.07923553138971329,0.07459508627653122,0.038312990218400955,-0.10821803659200668,-0.17101477086544037,-0.08054609596729279,all
RHOC,-0.3579917848110199,-0.14255410432815552,-0.2219616323709488,-0.2727816700935364,0.08400651812553406,1.1415084600448608,1.0600404739379883,-0.4279893636703491,-0.8272815346717834,-0.18707804381847382,all
LRIG2,0.006108488887548447,0.006326362024992704,-0.000510391837451607,0.01808864437043667,-0.009942661970853806,-0.016638383269309998,-0.016354266554117203,-0.0074097514152526855,-0.07650783658027649,0.020450230687856674,all
PTPN22,0.0755162164568901,-0.008719687350094318,-0.017295679077506065,0.001249006949365139,-0.024122348055243492,-0.13869424164295197,-0.1565730720758438,0.14998766779899597,0.6633964776992798,0.2343328893184662,all
RP5-1073O3.7,0.022435691207647324,-0.03308875858783722,0.02621586248278618,-0.009623249992728233,-0.040451716631650925,-0.026471413671970367,-0.016682540997862816,0.04226914420723915,-0.017639534547924995,-0.003999955486506224,all
TSPAN2,0.07469916343688965,-0.01190844364464283,-0.01134964544326067,0.040063414722681046,-0.03447835519909859,-0.07344847172498703,-0.062200289219617844,-0.03686133772134781,0.566226601600647,0.005760125815868378,all
SLC22A15,0.05413734167814255,0.01699218899011612,-0.010004585608839989,0.038247086107730865,-0.041483134031295776,-0.0562901645898819,-0.04779666289687157,-0.07442281395196915,-0.04197123274207115,-0.10895610600709915,all
ZNF697,0.051997534930706024,-0.016724610701203346,0.01079653948545456,0.06118869036436081,-0.0033483554143458605,-0.05725056305527687,-0.05320455878973007,-0.011103610508143902,-0.0779031291604042,-0.06987432390451431,all
FCGR1B,0.02591009810566902,0.05168893188238144,-0.02289816178381443,-0.002029445953667164,0.16046138107776642,-0.006310733035206795,-0.001187530579045415,-0.1539042443037033,-0.14285603165626526,-0.4034947454929352,all
RP11-640M9.1,0.03960611671209335,-0.0009171577403321862,0.03430764004588127,0.04171151667833328,0.015860075131058693,-0.07248260825872421,-0.07309583574533463,-0.04353955760598183,-0.08348226547241211,-0.16938430070877075,all
NBPF9,-0.01235073059797287,0.01922665350139141,-0.007069006562232971,-0.0126328831538558,-0.007378147915005684,0.023466134443879128,0.05010557919740677,-0.07391984760761261,-0.1494041234254837,-0.03523305431008339,all
AL590452.1,0.023543482646346092,-0.028067318722605705,0.0278695710003376,0.0375104695558548,-0.013930005952715874,-0.01740581914782524,0.0031657537911087275,-0.02657957188785076,-0.04028578847646713,-0.08722439408302307,all
TXNIP,-0.1686948835849762,0.22200354933738708,-0.12153476476669312,-0.019312674179673195,0.04070839285850525,0.27282965183258057,0.27562588453292847,-0.3492569327354431,-0.8875682950019836,-0.8905875086784363,all
ANKRD35,0.046260103583335876,-0.00020266027422621846,0.0021974241826683283,-0.008247255347669125,-0.0031374171376228333,-0.043017804622650146,-0.058750398457050323,-0.08661089092493057,-0.0893855094909668,0.02360149286687374,all
PRKAB2,-0.007043792866170406,0.004540082532912493,0.010287264361977577,0.044297076761722565,0.011195889674127102,-0.021595440804958344,-0.035180121660232544,0.021766234189271927,0.04244203865528107,0.02309303916990757,all
FMO5,0.04505852982401848,-0.010622043162584305,0.007620139513164759,0.03203725442290306,-0.038440149277448654,-0.045604269951581955,-0.050703901797533035,-0.042994219809770584,-0.053668148815631866,0.0012619580375030637,all
HIST2H2AA3,0.006187834776937962,-0.03973604366183281,0.010015268810093403,-0.020750975236296654,0.1253284364938736,0.07739967107772827,0.014212653040885925,-0.15005049109458923,-0.1311815232038498,-0.040241215378046036,all
HIST2H2BE,-0.009466152638196945,-0.026759564876556396,-0.020702114328742027,-0.05261936038732529,0.420139878988266,0.04918024688959122,0.08235690742731094,-0.027743633836507797,-0.023501822724938393,0.09064386039972305,all
C1orf54,-0.02318144403398037,0.02759428694844246,0.04613501578569412,0.010520595125854015,-0.053364403545856476,-0.11694713681936264,0.027494898065924644,-0.026026524603366852,5.459044933319092,-0.24359244108200073,all
CTSK,0.01978239230811596,-0.006611821707338095,0.013769951649010181,0.012232230976223946,0.017119307070970535,-0.028659531846642494,-0.03704151511192322,-0.01646396890282631,-0.04410674422979355,-0.03717655688524246,all
FAM63A,0.024451134726405144,-0.01028978917747736,-0.001402806374244392,0.03239875286817551,0.04881308972835541,-0.029577411711215973,-0.04228523001074791,0.03817717358469963,-0.06459793448448181,-0.021723812445998192,all
C1orf56,-0.09734869003295898,-0.036615271121263504,0.06482000648975372,-0.0321044884622097,0.055098142474889755,0.10698764771223068,0.143903449177742,0.03908113017678261,-0.2148209810256958,-0.15419191122055054,all
CDC42SE1,-0.0548660047352314,-0.02029777318239212,0.041030239313840866,-0.028716398403048515,0.032275330275297165,0.09558209776878357,0.09677392989397049,-0.04511938989162445,-0.3270145356655121,-0.27296704053878784,all
MLLT11,0.025060435757040977,-0.03107747621834278,0.004718154203146696,0.009860669262707233,-1.7923621271620505e-05,0.03569243475794792,0.0011611260706558824,-0.0707063227891922,-0.13752701878547668,-0.11104972660541534,all
S100A12,0.7455768585205078,0.0954410657286644,0.03471467271447182,0.3708909749984741,-0.18530333042144775,-1.040055751800537,-0.8891021013259888,-0.347716361284256,-0.14182640612125397,-1.0928913354873657,all
THBS3,0.02136480249464512,-0.0062623405829072,0.013414330780506134,0.021993599832057953,0.0008361070067621768,-0.035679880529642105,-0.0030088264029473066,-0.00867860484868288,-0.030197585001587868,-0.04554242268204689,all
GBA,0.028401048853993416,0.010129696689546108,-0.005727647803723812,0.02542593702673912,-0.011614006944000721,-0.022671855986118317,0.009387945756316185,-0.0656658262014389,-0.11012645065784454,-0.09132818877696991,all
